Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification,
i8,2017,Middle East,White,Petrol,Automatic,1.8,52327,74005,8478,High,
M3,2023,Asia,Black,Electric,Automatic,2.4,196238,109772,1993,Low,
X1,2020,Middle East,Blue,Diesel,Manual,3.1,59102,64022,9842,High,
5 Series,2024,Asia,Grey,Electric,Automatic,4.7,124858,114997,7692,High,
M3,2022,Asia,Red,Hybrid,Manual,4.6,156811,88747,775,Low,
M5,2010,Europe,Blue,Electric,Automatic,4,52357,70378,1317,Low,
5 Series,2019,North America,Blue,Electric,Automatic,1.6,59002,52284,8737,High,
i3,2013,Asia,Blue,Diesel,Manual,2.7,52711,117713,817,Low,
X3,2010,South America,Black,Hybrid,Automatic,3.9,188639,45145,978,Low,
X3,2017,Africa,Grey,Petrol,Automatic,2,81545,86709,4401,Low,
5 Series,2010,Europe,White,Hybrid,Automatic,4.3,185212,67878,8415,High,
X6,2012,Africa,Black,Hybrid,Manual,4.7,91544,58615,5429,Low,
M3,2022,North America,Silver,Electric,Manual,2.7,103901,105252,6981,Low,
i8,2013,Africa,Silver,Hybrid,Automatic,4,60124,38913,4064,Low,
7 Series,2024,Africa,Blue,Petrol,Automatic,2,133039,93584,5289,Low,
M5,2024,Europe,Black,Diesel,Automatic,3.9,70998,59653,2064,Low,
X6,2024,North America,Blue,Hybrid,Manual,1.6,19430,91957,6582,Low,
M5,2017,Asia,Grey,Electric,Automatic,2,83383,63641,3597,Low,
3 Series,2015,North America,White,Diesel,Manual,4,17211,88214,7441,High,
X5,2023,Middle East,Red,Diesel,Automatic,4,146310,60096,7480,High,
M3,2019,Africa,Silver,Electric,Automatic,3.7,159856,100854,1320,Low,
M5,2021,North America,Black,Petrol,Automatic,3.2,198523,64803,6044,Low,
i3,2016,Europe,Black,Petrol,Manual,3.9,167437,74801,9549,High,
X6,2023,Europe,Black,Electric,Automatic,4.2,132964,61017,8566,High,
i3,2017,Asia,Silver,Diesel,Automatic,4.9,18561,90174,6181,Low,
5 Series,2011,North America,White,Diesel,Automatic,4.6,188094,72728,9742,High,
7 Series,2022,South America,Silver,Petrol,Automatic,4.3,166692,101143,257,Low,
X5,2019,Europe,Silver,Petrol,Manual,3.9,116837,38350,2140,Low,
X5,2023,Asia,Red,Electric,Manual,3.5,115949,31097,4379,Low,
5 Series,2020,Africa,Red,Hybrid,Manual,1.9,18709,101483,8549,High,
3 Series,2017,South America,Blue,Petrol,Manual,2.1,146245,55835,3272,Low,
X1,2012,Asia,Red,Hybrid,Automatic,4.4,78636,48370,6533,Low,
3 Series,2016,South America,White,Electric,Manual,4.3,77809,100336,7812,High,
X3,2012,North America,Silver,Hybrid,Automatic,3.7,111587,88407,2879,Low,
M5,2024,Asia,Silver,Electric,Automatic,3,149252,76673,9265,High,
X6,2016,South America,White,Diesel,Automatic,1.6,130713,116123,8858,High,
3 Series,2023,South America,Red,Hybrid,Manual,2.6,26158,45031,3380,Low,
i3,2020,Asia,Red,Petrol,Manual,3,75606,53784,6190,Low,
M5,2024,Asia,Silver,Petrol,Manual,3.2,105447,43118,3087,Low,
X3,2021,South America,Blue,Electric,Automatic,4.8,179860,41973,222,Low,
M5,2022,Africa,Silver,Diesel,Automatic,1.9,11640,33902,6211,Low,
3 Series,2011,Middle East,Blue,Diesel,Automatic,3.3,188668,103575,7030,High,
X1,2019,North America,Blue,Electric,Manual,2.8,116545,106216,9574,High,
M3,2015,Europe,Grey,Electric,Automatic,5,173825,61639,1877,Low,
X1,2012,Europe,Silver,Diesel,Automatic,4.5,110298,49399,3158,Low,
5 Series,2012,Asia,Grey,Hybrid,Manual,3,181037,53000,8802,High,
X1,2024,South America,Black,Hybrid,Automatic,5,142020,75014,6320,Low,
7 Series,2018,Europe,Black,Petrol,Automatic,3.3,191240,85128,8744,High,
M3,2016,Europe,Blue,Hybrid,Manual,2.1,94861,66017,1583,Low,
X3,2014,South America,Blue,Electric,Manual,3.4,138819,109925,762,Low,
X5,2021,South America,Blue,Diesel,Manual,2.3,51904,30422,3831,Low,
X5,2019,South America,Grey,Electric,Manual,3.7,25895,79992,1777,Low,
X5,2016,Asia,Silver,Petrol,Automatic,4.8,146069,60342,897,Low,
7 Series,2018,Africa,Blue,Petrol,Automatic,4.3,63502,38309,6817,Low,
M3,2010,Asia,Blue,Hybrid,Automatic,2.5,142232,114959,4602,Low,
i8,2016,Asia,Silver,Diesel,Manual,2.5,173887,71493,883,Low,
M3,2015,South America,Silver,Petrol,Automatic,1.7,99999,76791,7901,High,
7 Series,2019,North America,Red,Hybrid,Automatic,2.5,38110,61608,3232,Low,
i3,2023,Europe,White,Hybrid,Automatic,1.8,191913,61119,676,Low,
M5,2021,South America,Red,Hybrid,Manual,3.2,8848,36549,4354,Low,
5 Series,2018,North America,Black,Hybrid,Manual,4,72061,100126,2600,Low,
7 Series,2010,Asia,Red,Diesel,Automatic,4.1,135841,62858,5134,Low,
i3,2022,Asia,Grey,Hybrid,Automatic,1.7,61486,110653,9176,High,
i3,2013,Africa,White,Hybrid,Manual,2.7,4777,100704,1966,Low,
X1,2018,Middle East,Black,Hybrid,Automatic,2.5,106033,103111,2847,Low,
M5,2013,Asia,White,Petrol,Automatic,1.9,176631,98675,7185,High,
X5,2019,South America,Black,Hybrid,Manual,2.8,114796,119876,3954,Low,
3 Series,2012,Middle East,Red,Hybrid,Manual,2.5,3037,88105,2456,Low,
i8,2018,Asia,Red,Hybrid,Automatic,3.7,112653,86063,1167,Low,
3 Series,2022,Europe,Grey,Diesel,Automatic,4.6,120792,97710,3387,Low,
X3,2011,Africa,Silver,Hybrid,Automatic,3.1,131650,32066,1762,Low,
7 Series,2024,South America,Grey,Petrol,Manual,4.1,6373,41921,9249,High,
3 Series,2013,Asia,Blue,Diesel,Manual,2,54716,65826,7698,High,
i8,2024,North America,White,Diesel,Automatic,4.6,143510,119962,4352,Low,
X3,2015,Middle East,Blue,Hybrid,Automatic,2,23062,111285,1698,Low,
X1,2011,North America,Grey,Electric,Automatic,2.2,69524,49657,8916,High,
X6,2024,Middle East,Grey,Hybrid,Manual,1.9,97195,65399,7187,High,
3 Series,2017,Asia,Blue,Diesel,Automatic,2.6,141305,43251,1768,Low,
i8,2017,Africa,Black,Hybrid,Automatic,3.4,107908,71824,2809,Low,
X3,2010,Middle East,Red,Hybrid,Manual,5,134707,41024,4317,Low,
i3,2021,North America,Blue,Electric,Automatic,4.3,9416,93796,9572,High,
i8,2012,Middle East,Silver,Electric,Manual,2.8,90022,68228,7497,High,
M5,2019,Europe,White,Electric,Automatic,3.5,24085,111010,4931,Low,
X5,2018,North America,Grey,Hybrid,Manual,3.7,210,40927,1508,Low,
i8,2014,North America,Black,Hybrid,Automatic,4.4,8772,71851,7517,High,
3 Series,2015,Asia,White,Petrol,Automatic,4.1,108227,84777,8625,High,
M5,2013,Middle East,Red,Hybrid,Automatic,3.5,130708,56840,9352,High,
X6,2019,Africa,Grey,Petrol,Manual,3.8,29316,51376,7301,High,
X5,2011,Asia,Blue,Hybrid,Manual,4.1,171452,119451,3086,Low,
X5,2020,Middle East,White,Electric,Automatic,2,28902,115270,7583,High,
3 Series,2017,Europe,White,Electric,Automatic,2.2,54777,100786,9880,High,
M5,2020,Middle East,Grey,Electric,Manual,3.9,174809,101761,1760,Low,
X5,2022,South America,White,Electric,Automatic,4.5,5755,68667,9360,High,
i8,2015,South America,Blue,Diesel,Automatic,2.9,6666,40108,1464,Low,
i3,2014,Middle East,Red,Hybrid,Manual,4.9,67395,75381,8317,High,
M3,2018,South America,Blue,Electric,Manual,2.3,191344,52930,7242,High,
i3,2010,Middle East,Blue,Petrol,Automatic,3,24456,58677,2719,Low,
M5,2014,South America,Red,Hybrid,Manual,2.8,95581,46154,8681,High,
X5,2015,Africa,Grey,Diesel,Manual,4.8,10290,49900,7360,High,
X5,2014,Africa,Grey,Hybrid,Automatic,2.5,22073,37997,1991,Low,
5 Series,2015,North America,Grey,Hybrid,Manual,3.1,88139,103429,3446,Low,
7 Series,2015,Middle East,White,Electric,Automatic,2.2,105141,58217,5391,Low,
i8,2016,Africa,Black,Hybrid,Automatic,3.3,87806,61252,1606,Low,
3 Series,2013,North America,Red,Electric,Automatic,4.5,178224,61624,2378,Low,
X3,2023,North America,Black,Hybrid,Automatic,2.6,44940,56937,3029,Low,
M5,2020,North America,Blue,Diesel,Manual,4.3,144106,98779,7794,High,
X1,2023,Africa,Blue,Electric,Manual,4.7,187625,76798,6747,Low,
7 Series,2023,Europe,Grey,Diesel,Manual,1.8,126740,44620,8760,High,
X1,2023,North America,Blue,Diesel,Automatic,4.1,142234,32784,8250,High,
M5,2024,Asia,Blue,Petrol,Automatic,2.4,139076,88696,1424,Low,
7 Series,2017,Europe,Silver,Hybrid,Manual,2.1,88374,50045,7841,High,
X5,2016,South America,Silver,Petrol,Manual,3.6,106068,77612,5598,Low,
7 Series,2018,North America,Blue,Electric,Automatic,4,112064,74165,7716,High,
M3,2016,Europe,Blue,Diesel,Automatic,2.9,76815,58994,4411,Low,
5 Series,2012,South America,Black,Hybrid,Manual,1.6,55271,69846,5620,Low,
3 Series,2012,North America,Silver,Petrol,Manual,4.7,130453,53174,2708,Low,
X3,2024,Africa,Red,Diesel,Manual,4.1,15702,76382,5799,Low,
X1,2017,Europe,Blue,Electric,Automatic,2.5,28819,33594,6145,Low,
7 Series,2014,Africa,White,Electric,Automatic,3.2,172415,110530,5773,Low,
5 Series,2013,Europe,Grey,Electric,Automatic,1.6,101808,31148,6739,Low,
7 Series,2017,South America,White,Electric,Automatic,2.7,101703,88737,3193,Low,
7 Series,2024,Middle East,Silver,Diesel,Manual,3.3,126765,65636,2166,Low,
3 Series,2015,South America,Blue,Electric,Automatic,3.3,195376,116989,6757,Low,
M3,2011,Africa,Black,Diesel,Automatic,2.2,21864,69748,9632,High,
M3,2013,Europe,Silver,Diesel,Manual,4.2,100965,90435,6424,Low,
5 Series,2021,North America,Blue,Petrol,Automatic,2.5,151028,31465,8580,High,
X6,2020,Middle East,Blue,Petrol,Automatic,3.5,145629,76088,6997,Low,
3 Series,2013,Africa,Blue,Hybrid,Automatic,2.5,176701,100782,6833,Low,
X1,2024,North America,Grey,Petrol,Manual,3,182647,82874,1404,Low,
X1,2015,North America,Red,Electric,Manual,2.2,137336,86268,3443,Low,
i8,2015,Middle East,Blue,Diesel,Automatic,3.7,153278,30889,9853,High,
3 Series,2010,Middle East,White,Electric,Automatic,3,12447,95066,4167,Low,
X1,2023,Middle East,Silver,Electric,Manual,1.6,155090,93400,1567,Low,
5 Series,2017,Europe,Blue,Electric,Manual,1.6,125196,46963,8561,High,
X6,2015,Europe,Red,Hybrid,Manual,3.1,121001,62931,6319,Low,
M5,2012,Europe,Blue,Diesel,Manual,2.1,179159,92185,7308,High,
X5,2023,South America,White,Petrol,Automatic,3.5,109321,52382,5464,Low,
M3,2018,Middle East,Silver,Diesel,Automatic,2.9,104622,36743,6037,Low,
7 Series,2011,Middle East,Silver,Hybrid,Manual,3.8,15556,35878,2145,Low,
X5,2024,Africa,Black,Hybrid,Manual,4.8,99771,48752,521,Low,
X6,2020,Middle East,Silver,Petrol,Automatic,3.4,1468,56962,5175,Low,
X3,2017,North America,Black,Electric,Automatic,4.3,51769,88233,5313,Low,
X5,2019,Middle East,Red,Electric,Automatic,4.1,141561,62469,9345,High,
i3,2012,Asia,Red,Petrol,Automatic,4.7,73240,108735,6096,Low,
M5,2022,Asia,Blue,Petrol,Manual,2.2,106054,47495,1975,Low,
7 Series,2021,Asia,Grey,Diesel,Automatic,4.4,76155,39494,5439,Low,
7 Series,2014,Middle East,Grey,Petrol,Automatic,4.7,2877,51627,5147,Low,
3 Series,2015,South America,Grey,Hybrid,Automatic,2.9,114236,71411,235,Low,
7 Series,2019,Europe,Black,Hybrid,Manual,2.6,166938,46424,8045,High,
7 Series,2015,North America,Black,Hybrid,Automatic,4.8,59178,88292,3164,Low,
i3,2013,Asia,Blue,Hybrid,Automatic,3.7,51739,34280,7271,High,
i3,2012,Asia,Silver,Electric,Automatic,2.8,194324,95183,6689,Low,
X1,2013,North America,Blue,Diesel,Automatic,4.3,49313,44127,9186,High,
X1,2010,North America,Black,Petrol,Automatic,2.6,31828,34880,2706,Low,
X1,2013,Europe,White,Petrol,Manual,2.1,37658,95656,1355,Low,
X1,2010,South America,Blue,Petrol,Manual,3.4,134926,91649,6465,Low,
X6,2021,Europe,Red,Petrol,Manual,3.5,115204,55516,6115,Low,
i3,2024,Asia,Red,Electric,Manual,4.4,104720,118841,3863,Low,
5 Series,2010,Africa,White,Diesel,Manual,3.1,55352,98830,2258,Low,
5 Series,2019,Africa,White,Diesel,Automatic,4.4,84280,57249,3874,Low,
X6,2023,Asia,Black,Electric,Automatic,2.6,80215,76115,9306,High,
X3,2015,Asia,Black,Hybrid,Manual,3.5,160639,77685,2588,Low,
X1,2014,North America,Silver,Diesel,Automatic,2.2,63889,119081,6309,Low,
M5,2023,South America,Silver,Hybrid,Manual,2.8,6126,86600,5511,Low,
5 Series,2020,North America,White,Diesel,Automatic,4.5,76073,110440,9545,High,
i8,2024,North America,Grey,Hybrid,Automatic,2.3,105412,106815,437,Low,
i3,2013,Asia,Red,Diesel,Manual,4.3,122677,54115,3451,Low,
X5,2022,Middle East,Grey,Electric,Automatic,2.5,110223,48932,4199,Low,
5 Series,2020,Europe,Black,Petrol,Manual,1.6,196299,60530,6142,Low,
X5,2012,Middle East,Red,Hybrid,Manual,1.9,146320,114522,6193,Low,
M3,2010,Asia,Red,Petrol,Manual,4.1,35755,50758,2668,Low,
X3,2015,North America,White,Electric,Automatic,2.4,159008,57756,1564,Low,
M5,2011,Middle East,White,Hybrid,Automatic,3.8,168842,112752,2918,Low,
M3,2017,Asia,Blue,Electric,Manual,3.9,94375,78956,3083,Low,
3 Series,2019,North America,White,Diesel,Manual,2.7,67579,44337,2991,Low,
X5,2014,North America,Blue,Hybrid,Automatic,3.2,14500,80260,8642,High,
M5,2016,North America,Red,Hybrid,Automatic,2.9,192999,52104,4877,Low,
X1,2019,Europe,Grey,Hybrid,Manual,4.8,22090,82356,721,Low,
X6,2021,Europe,Blue,Petrol,Manual,2.6,164379,50817,4788,Low,
M3,2011,North America,Grey,Electric,Automatic,2.1,113770,36043,4267,Low,
5 Series,2022,Middle East,Silver,Electric,Automatic,2.8,1693,47210,2951,Low,
X3,2017,South America,Grey,Electric,Automatic,3.8,155250,59598,777,Low,
X6,2011,North America,Blue,Diesel,Automatic,3.9,7082,35973,9174,High,
X6,2013,Europe,Red,Diesel,Manual,4.7,15071,68160,9729,High,
5 Series,2010,South America,Grey,Petrol,Automatic,4.6,142426,103490,4771,Low,
5 Series,2024,Asia,Black,Petrol,Automatic,2.5,138492,54502,894,Low,
M5,2014,Europe,Black,Diesel,Automatic,3.1,29447,90015,3788,Low,
M3,2018,North America,Silver,Hybrid,Manual,4.1,123434,74495,1786,Low,
M5,2010,Europe,Red,Electric,Automatic,4.7,183072,64169,335,Low,
i3,2018,South America,Blue,Hybrid,Manual,2.7,171574,45933,8572,High,
5 Series,2020,Asia,Grey,Petrol,Automatic,3.1,158108,99486,8148,High,
X5,2024,Middle East,Silver,Hybrid,Manual,4.6,116751,76064,6616,Low,
i3,2017,Middle East,Red,Diesel,Automatic,2.8,91459,70414,2425,Low,
5 Series,2015,Europe,Red,Diesel,Automatic,3.2,107499,76417,9696,High,
5 Series,2016,Asia,Grey,Diesel,Automatic,4.7,13892,90986,5451,Low,
i8,2012,South America,Red,Petrol,Automatic,4.3,176274,112544,8791,High,
7 Series,2023,Africa,Blue,Hybrid,Automatic,2.4,57157,83315,2580,Low,
X3,2024,Europe,White,Petrol,Manual,2.6,49693,66906,9148,High,
M5,2010,North America,Grey,Diesel,Automatic,2.7,1051,108462,638,Low,
X1,2014,Africa,Grey,Petrol,Manual,4.7,23308,55674,879,Low,
X3,2023,Middle East,Silver,Petrol,Manual,5,59118,43018,6441,Low,
3 Series,2021,Africa,Silver,Electric,Manual,4.2,180290,94893,2227,Low,
M5,2021,South America,White,Hybrid,Automatic,3.2,142911,71212,5723,Low,
3 Series,2011,South America,Black,Diesel,Automatic,1.5,176697,68650,5816,Low,
7 Series,2023,North America,Silver,Petrol,Manual,3.9,37372,33604,4547,Low,
7 Series,2014,Asia,White,Electric,Automatic,2.9,101187,62331,863,Low,
M5,2017,South America,Black,Hybrid,Automatic,3.7,122633,54503,1341,Low,
X3,2020,Asia,Silver,Petrol,Manual,3.6,169394,77216,952,Low,
X6,2018,Middle East,Red,Diesel,Automatic,3.2,171776,71587,329,Low,
M3,2011,Europe,Black,Petrol,Automatic,4.8,42199,70170,1413,Low,
3 Series,2021,North America,Red,Petrol,Automatic,1.6,88579,83948,4597,Low,
i3,2012,Asia,White,Petrol,Automatic,4,44303,45758,6062,Low,
i8,2012,North America,Blue,Diesel,Automatic,2.9,171718,97052,3452,Low,
i3,2010,North America,Silver,Hybrid,Automatic,4,168305,115411,1488,Low,
5 Series,2017,Africa,White,Diesel,Manual,3.9,42520,38777,6807,Low,
X3,2015,North America,Grey,Hybrid,Automatic,1.5,81806,76510,4911,Low,
X1,2021,South America,Grey,Petrol,Automatic,2.5,57736,49523,3788,Low,
3 Series,2022,Asia,Silver,Diesel,Automatic,2.2,5898,35750,9081,High,
7 Series,2017,Europe,Grey,Diesel,Automatic,2.1,54324,91882,7571,High,
X1,2020,South America,Grey,Diesel,Automatic,4,135718,34971,5050,Low,
i8,2018,Asia,Silver,Electric,Manual,2.3,20438,87790,6053,Low,
X3,2014,Asia,Red,Petrol,Manual,3.2,164482,39423,6934,Low,
X3,2023,Asia,Grey,Petrol,Automatic,2.4,128514,109092,6547,Low,
3 Series,2021,Middle East,Silver,Diesel,Manual,3.5,15243,59038,8592,High,
M3,2023,Middle East,Silver,Hybrid,Automatic,4,31766,92328,162,Low,
i3,2012,Europe,Blue,Petrol,Manual,2.7,129957,112224,4815,Low,
M3,2014,Asia,White,Electric,Automatic,3.6,189902,83734,9256,High,
M3,2014,North America,Black,Hybrid,Automatic,4.4,167126,114460,4486,Low,
M3,2014,Africa,Blue,Diesel,Manual,1.8,85881,46480,6756,Low,
M3,2012,Europe,Blue,Diesel,Manual,4,136232,114709,4596,Low,
M5,2020,North America,Silver,Electric,Manual,2.6,30064,106362,5113,Low,
X6,2023,Europe,Blue,Petrol,Manual,1.9,14909,92457,8293,High,
M3,2019,Africa,White,Petrol,Manual,3.4,5596,73337,7460,High,
M5,2023,South America,White,Petrol,Manual,2.3,25938,67944,1715,Low,
i3,2013,Asia,Grey,Hybrid,Automatic,4.4,22909,47801,4124,Low,
i3,2018,Asia,Black,Electric,Manual,1.7,133078,99327,9861,High,
X1,2022,Asia,Grey,Hybrid,Automatic,1.8,96592,112298,1551,Low,
M3,2019,Middle East,Red,Electric,Automatic,3.3,28680,94774,7634,High,
i3,2018,North America,Black,Electric,Manual,3.6,133118,55757,3242,Low,
X5,2011,Asia,Blue,Electric,Automatic,4.1,114108,44467,6998,Low,
3 Series,2017,South America,Black,Hybrid,Manual,2.4,117172,71476,1750,Low,
3 Series,2017,Asia,Blue,Hybrid,Manual,4.4,89959,40642,4910,Low,
3 Series,2016,South America,Red,Petrol,Manual,4.8,18151,106088,8442,High,
X3,2017,Africa,White,Petrol,Automatic,3.2,54725,57380,655,Low,
M3,2023,South America,White,Hybrid,Automatic,4.2,149774,104017,2736,Low,
X1,2012,South America,Red,Diesel,Manual,3.3,127598,42682,4785,Low,
M5,2022,North America,Grey,Petrol,Automatic,1.7,71941,92326,3984,Low,
7 Series,2015,Middle East,Grey,Diesel,Manual,2.6,78196,82036,6355,Low,
X1,2010,Africa,Grey,Diesel,Automatic,1.8,90606,75382,9701,High,
X3,2016,South America,Black,Hybrid,Manual,5,95121,40698,8999,High,
5 Series,2024,North America,Silver,Electric,Manual,2.3,15733,117390,8994,High,
X3,2024,South America,White,Petrol,Manual,3.7,100977,48260,8620,High,
5 Series,2010,South America,Grey,Diesel,Manual,2.5,83165,111234,4548,Low,
M3,2018,Europe,Blue,Electric,Manual,3.8,139986,95676,1894,Low,
X5,2010,North America,White,Petrol,Automatic,2.2,191033,109453,6119,Low,
X3,2010,Africa,Grey,Hybrid,Manual,4.2,158043,55462,7748,High,
5 Series,2024,North America,Blue,Petrol,Manual,1.9,192534,105029,1901,Low,
i8,2016,Europe,Silver,Hybrid,Automatic,4.6,153626,98878,8863,High,
i8,2011,South America,Grey,Hybrid,Manual,4.4,75257,72658,4334,Low,
5 Series,2023,South America,Black,Hybrid,Manual,3.9,586,43905,2098,Low,
7 Series,2014,Middle East,Black,Electric,Manual,1.7,139133,101366,2951,Low,
i3,2017,Middle East,White,Diesel,Manual,2.2,52238,83790,4213,Low,
3 Series,2017,Asia,Silver,Electric,Manual,4.5,82309,67954,2303,Low,
X5,2012,South America,Blue,Diesel,Manual,1.9,187160,118290,6508,Low,
i8,2016,North America,Grey,Diesel,Automatic,2,174070,64972,9301,High,
5 Series,2012,North America,Black,Petrol,Manual,3.4,20510,97877,696,Low,
X5,2015,Europe,Black,Hybrid,Automatic,2.5,74607,82046,1204,Low,
M3,2015,South America,Blue,Electric,Automatic,2.3,111383,91253,4389,Low,
3 Series,2012,North America,Blue,Diesel,Manual,3.5,143117,62878,1878,Low,
i8,2016,South America,White,Petrol,Automatic,2.8,175127,114879,980,Low,
i8,2012,North America,Grey,Hybrid,Manual,2,74820,73887,6254,Low,
5 Series,2017,Middle East,Black,Hybrid,Automatic,3.4,100974,100246,122,Low,
M5,2019,Middle East,Blue,Petrol,Manual,2.9,93849,49771,5047,Low,
X1,2013,Africa,Blue,Hybrid,Automatic,4.1,21499,117861,3539,Low,
i8,2024,Europe,Grey,Hybrid,Manual,1.9,153385,64860,7478,High,
X3,2024,Europe,Black,Electric,Automatic,3.7,101989,36741,6759,Low,
M5,2022,South America,Grey,Petrol,Automatic,3,130671,77697,4150,Low,
M3,2010,Middle East,Black,Petrol,Automatic,2.9,11823,114739,7225,High,
5 Series,2013,North America,Blue,Diesel,Manual,2.3,123129,86611,5344,Low,
M3,2023,Asia,Black,Electric,Manual,1.6,53042,59651,9583,High,
3 Series,2016,Asia,White,Electric,Manual,4.5,69058,53635,8390,High,
3 Series,2020,Africa,Silver,Petrol,Manual,2.6,153203,47546,4623,Low,
i3,2013,Africa,Blue,Hybrid,Manual,3.9,3473,31664,5046,Low,
5 Series,2022,South America,White,Hybrid,Automatic,4.8,72789,31861,3601,Low,
i3,2015,South America,Grey,Hybrid,Manual,3.5,3570,32831,5317,Low,
X3,2018,Europe,Black,Electric,Automatic,2.9,155675,96102,6796,Low,
i8,2010,North America,Grey,Hybrid,Manual,2.4,109597,55780,3555,Low,
M5,2022,Asia,Black,Electric,Manual,4.8,154625,87367,4036,Low,
X3,2014,Asia,Grey,Petrol,Automatic,3.9,119240,52078,4163,Low,
M3,2020,Middle East,White,Petrol,Manual,3.8,140736,93306,7515,High,
M5,2016,Middle East,Silver,Petrol,Automatic,3,150307,109937,5262,Low,
i3,2010,Africa,Silver,Electric,Automatic,4.5,11768,69171,9765,High,
5 Series,2023,South America,White,Diesel,Manual,4,73789,51415,2407,Low,
M3,2013,Middle East,White,Hybrid,Automatic,2.5,111541,72992,8821,High,
X6,2015,Middle East,Grey,Hybrid,Automatic,3.6,137243,118018,3894,Low,
X3,2011,Middle East,Blue,Hybrid,Manual,3,39199,94678,7963,High,
3 Series,2019,North America,Silver,Hybrid,Automatic,1.5,91321,111544,9861,High,
3 Series,2014,Asia,Silver,Hybrid,Automatic,4.3,25157,30891,7630,High,
X6,2020,Asia,Black,Petrol,Automatic,1.9,126076,94412,576,Low,
X3,2019,Middle East,Grey,Diesel,Automatic,3.3,105622,95916,3453,Low,
M5,2010,South America,Silver,Electric,Manual,2.7,10053,78116,5478,Low,
7 Series,2015,North America,Blue,Diesel,Manual,2.7,67451,67607,9656,High,
5 Series,2015,Europe,Black,Diesel,Manual,3.2,125375,66740,4232,Low,
X1,2022,South America,Red,Electric,Automatic,5,57813,86230,2842,Low,
5 Series,2024,Asia,Silver,Electric,Manual,2.9,73374,67850,5511,Low,
M3,2024,North America,Silver,Petrol,Manual,2.1,50194,37211,9243,High,
i8,2013,Middle East,White,Diesel,Automatic,3.6,77511,97214,3749,Low,
M3,2022,North America,Grey,Electric,Manual,2.3,38919,85800,8854,High,
3 Series,2017,Europe,Red,Petrol,Manual,1.9,14590,112410,3302,Low,
M3,2013,Middle East,Silver,Diesel,Manual,1.7,35135,35159,6422,Low,
X3,2017,Middle East,Silver,Hybrid,Automatic,1.6,194764,119882,2547,Low,
i3,2024,South America,Grey,Petrol,Manual,3,145021,74758,1796,Low,
X6,2022,Asia,Grey,Electric,Automatic,3,32635,101117,8908,High,
7 Series,2017,Europe,Grey,Electric,Manual,2.1,153460,110780,7496,High,
5 Series,2014,North America,Red,Petrol,Automatic,4.2,140466,110808,8511,High,
M3,2022,Middle East,Silver,Electric,Automatic,2,35324,66185,9632,High,
M3,2024,Asia,Silver,Diesel,Automatic,4.7,45786,92952,6205,Low,
i8,2013,Middle East,White,Petrol,Automatic,3.6,17666,79593,4795,Low,
7 Series,2021,Africa,Blue,Diesel,Manual,1.6,5892,49105,1179,Low,
M3,2022,North America,Grey,Petrol,Automatic,4.9,122853,98166,3267,Low,
5 Series,2011,North America,Silver,Electric,Automatic,2.6,32699,94769,7058,High,
M3,2020,Europe,Blue,Petrol,Manual,3.1,50670,113277,8054,High,
M3,2024,Asia,Blue,Diesel,Automatic,2.5,7240,62045,7502,High,
7 Series,2012,North America,Red,Diesel,Automatic,4,3141,101152,7461,High,
i3,2012,North America,Blue,Electric,Manual,3.2,185479,108141,1416,Low,
M3,2013,Africa,Silver,Petrol,Manual,2,104363,70722,7005,High,
i3,2013,Africa,Blue,Electric,Automatic,1.9,9113,80447,3569,Low,
i8,2019,North America,Grey,Hybrid,Manual,4,52399,38389,5612,Low,
X1,2020,Africa,Silver,Diesel,Automatic,2.3,28755,117664,2550,Low,
3 Series,2020,Europe,Black,Diesel,Manual,2,281,111964,4021,Low,
X1,2014,North America,Grey,Hybrid,Manual,3.2,158069,118779,7182,High,
X3,2013,North America,Black,Diesel,Manual,4.3,51183,55818,3727,Low,
i3,2020,Asia,Black,Hybrid,Manual,2.5,109336,119010,8721,High,
i8,2023,Africa,White,Petrol,Automatic,2.5,53006,97474,576,Low,
3 Series,2019,South America,Blue,Diesel,Manual,4.4,155402,33572,9911,High,
7 Series,2017,Middle East,Silver,Hybrid,Manual,2,185857,41225,4916,Low,
X1,2015,Asia,Silver,Hybrid,Manual,3.7,58902,73846,7394,High,
7 Series,2015,Europe,Blue,Hybrid,Manual,4.8,57948,50038,1673,Low,
i3,2017,Europe,White,Electric,Manual,4.4,195078,50630,8188,High,
X3,2016,Middle East,White,Diesel,Automatic,1.7,94653,114453,8206,High,
5 Series,2024,Middle East,Red,Diesel,Automatic,2.6,182301,91800,9551,High,
X6,2019,Europe,White,Hybrid,Manual,2,84559,38069,5787,Low,
i3,2023,South America,Red,Petrol,Automatic,4.8,143267,97752,366,Low,
X5,2020,North America,Black,Hybrid,Manual,5,107776,60518,4813,Low,
M5,2021,Asia,Blue,Petrol,Manual,2.3,160149,99226,6532,Low,
i3,2019,Asia,Grey,Hybrid,Manual,3.8,20324,43184,2325,Low,
3 Series,2022,South America,Blue,Hybrid,Manual,4.4,44605,72624,8766,High,
M3,2017,Asia,Grey,Diesel,Manual,2.3,192079,33672,1504,Low,
X6,2023,Europe,White,Electric,Automatic,2.2,47346,92604,3181,Low,
X1,2011,South America,Black,Electric,Automatic,1.5,92715,59487,541,Low,
